iter	Passed	Remaining
412	3523	5007
413	3531	4998
414	3540	4990
415	3548	4981
416	3556	4972
417	3564	4963
418	3573	4954
419	3581	4946
420	3589	4937
421	3598	4928
422	3606	4920
423	3615	4911
424	3623	4902
425	3631	4893
426	3639	4884
427	3648	4875
428	3656	4866
429	3664	4858
430	3673	4849
431	3682	4841
432	3690	4832
433	3698	4823
434	3707	4815
435	3715	4806
436	3724	4798
437	3732	4789
438	3740	4780
439	3749	4771
440	3757	4763
441	3766	4754
442	3774	4746
443	3782	4737
444	3791	4729
445	3800	4720
446	3809	4712
447	3817	4703
448	3825	4694
449	3833	4685
450	3842	4677
451	3850	4668
452	3859	4660
453	3867	4651
454	3876	4642
455	3884	4634
456	3893	4626
457	3901	4617
458	3909	4608
459	3918	4599
460	3926	4591
461	3935	4582
462	3943	4574
463	3952	4565
464	3962	4558
465	3971	4550
466	3980	4542
467	3989	4534
468	3998	4526
469	4007	4518
470	4016	4511
471	4025	4503
472	4034	4495
473	4043	4487
474	4052	4478
475	4061	4470
476	4070	4462
477	4079	4454
478	4088	4446
479	4097	4438
480	4106	4430
481	4115	4422
482	4123	4414
483	4132	4405
484	4140	4397
485	4149	4388
486	4157	4379
487	4165	4370
488	4173	4361
489	4182	4353
490	4190	4344
491	4198	4335
492	4206	4326
493	4215	4317
494	4223	4309
495	4232	4300
496	4240	4291
497	4248	4282
498	4256	4273
499	4264	4264
500	4273	4255
501	4282	4248
502	4292	4241
503	4300	4232
504	4308	4223
505	4317	4214
506	4325	4206
507	4333	4197
508	4341	4188
509	4349	4179
510	4358	4170
511	4366	4161
512	4374	4152
513	4382	4144
514	4390	4135
515	4398	4126
516	4407	4117
517	4415	4108
518	4423	4099
519	4431	4091
520	4440	4082
521	4448	4073
522	4456	4064
523	4465	4056
524	4473	4047
525	4496	4051
526	4504	4043
527	4513	4034
528	4522	4026
529	4530	4017
530	4538	4008
531	4546	3999
532	4554	3990
533	4562	3981
534	4571	3973
535	4579	3964
536	4588	3955
537	4596	3947
538	4604	3938
539	4613	3929
540	4621	3921
541	4630	3912
542	4638	3904
543	4647	3895
544	4656	3887
545	4664	3878
546	4672	3869
547	4681	3860
548	4689	3852
549	4697	3843
550	4706	3834
551	4714	3826
552	4722	3817
553	4730	3808
554	4739	3800
555	4748	3791
556	4756	3783
557	4765	3774
558	4773	3765
559	4781	3757
560	4790	3748
561	4798	3739
562	4806	3731
563	4815	3722
564	4823	3713
565	4831	3705
566	4840	3696
567	4848	3687
568	4856	3678
569	4865	3670
570	4874	3662
571	4882	3653
572	4890	3644
573	4899	3635
574	4907	3627
575	4916	3618
576	4923	3609
577	4932	3601
578	4941	3592
579	4951	3585
580	4960	3577
581	4970	3569
582	4978	3561
583	4988	3553
584	4997	3544
585	5006	3536
586	5015	3528
587	5023	3520
588	5033	3512
589	5041	3503
590	5051	3495
591	5059	3487
592	5068	3478
593	5077	3470
594	5085	3461
595	5094	3453
596	5103	3445
597	5111	3436
598	5120	3427
599	5128	3418
600	5136	3409
601	5144	3401
602	5152	3392
603	5160	3383
604	5169	3375
605	5177	3366
606	5185	3357
607	5193	3348
608	5202	3340
609	5210	3331
610	5219	3322
611	5227	3314
612	5235	3305
613	5243	3296
614	5251	3287
615	5260	3279
616	5268	3270
617	5277	3261
618	5285	3253
619	5294	3244
620	5302	3236
621	5310	3227
622	5318	3218
623	5327	3209
624	5335	3201
625	5343	3192
626	5351	3183
627	5359	3174
628	5368	3166
629	5375	3157
630	5384	3148
631	5392	3140
632	5401	3131
633	5409	3122
634	5417	3113
635	5425	3105
636	5434	3096
637	5442	3087
638	5450	3079
639	5458	3070
640	5467	3062
641	5475	3053
642	5491	3048
643	5499	3039
644	5507	3031
645	5515	3022
646	5523	3013
647	5532	3005
648	5540	2996
649	5549	2988
650	5557	2979
651	5566	2971
652	5574	2962
653	5583	2953
654	5591	2945
655	5599	2936
656	5608	2927
657	5616	2919
658	5625	2910
659	5633	2902
660	5641	2893
661	5649	2884
662	5658	2876
663	5666	2867
664	5674	2858
665	5683	2850
666	5691	2841
667	5700	2833
668	5708	2824
669	5717	2815
670	5725	2807
671	5734	2798
672	5742	2790
673	5751	2781
674	5759	2772
675	5767	2764
676	5775	2755
677	5783	2746
678	5792	2738
679	5800	2729
680	5809	2721
681	5818	2712
682	5826	2704
683	5834	2695
684	5843	2687
685	5851	2678
686	5860	2669
687	5868	2661
688	5877	2653
689	5886	2644
690	5894	2635
691	5902	2627
692	5911	2618
693	5920	2610
694	5929	2602
695	5939	2594
696	5948	2585
697	5957	2577
698	5966	2569
699	5975	2561
700	5984	2552
701	5993	2544
702	6002	2535
703	6011	2527
704	6020	2519
705	6029	2510
706	6038	2502
707	6046	2493
708	6055	2485
709	6064	2477
710	6073	2468
711	6082	2460
712	6091	2451
713	6099	2443
714	6107	2434
715	6116	2426
716	6124	2417
717	6132	2408
718	6141	2400
719	6149	2391
720	6157	2382
721	6165	2374
722	6174	2365
723	6182	2356
724	6190	2348
725	6199	2339
726	6207	2330
727	6215	2322
728	6223	2313
729	6231	2304
730	6239	2296
731	6247	2287
732	6255	2278
733	6264	2270
734	6272	2261
735	6280	2252
736	6288	2244
737	6297	2235
738	6305	2226
739	6313	2218
740	6322	2209
741	6330	2201
742	6338	2192
743	6346	2183
744	6354	2175
745	6362	2166
746	6370	2157
747	6379	2149
748	6387	2140
749	6395	2131
750	6403	2123
751	6412	2114
752	6420	2106
753	6428	2097
754	6437	2088
755	6445	2080
756	6453	2071
757	6462	2063
758	6470	2054
759	6478	2045
760	6486	2037
761	6494	2028
762	6503	2019
763	6511	2011
764	6519	2002
765	6528	1994
766	6536	1985
767	6545	1977
768	6553	1968
769	6561	1960
770	6570	1951
771	6578	1943
772	6587	1934
773	6595	1925
774	6603	1917
775	6612	1908
776	6620	1900
777	6629	1891
778	6637	1883
