iter	RMSE
842	7548.01741
843	7541.986847
844	7528.921507
845	7526.046362
846	7513.837798
847	7501.917559
848	7491.775995
849	7481.245213
850	7479.299285
851	7475.68735
852	7469.677641
853	7456.977049
854	7446.516928
855	7437.641774
856	7428.664102
857	7420.410333
858	7416.400505
859	7411.634762
860	7399.551771
861	7389.172314
862	7386.018683
863	7379.975555
864	7366.536321
865	7359.438232
866	7352.775872
867	7346.89131
868	7340.586911
869	7337.684619
870	7327.843383
871	7326.663441
872	7321.08018
873	7310.636125
874	7304.878155
875	7299.63472
876	7289.031235
877	7284.538817
878	7276.3767
879	7273.851499
880	7262.803189
881	7255.624463
882	7246.628849
883	7236.432862
884	7229.648314
885	7220.827971
886	7213.326833
887	7205.337951
888	7197.381205
889	7193.718345
890	7185.247857
891	7179.875999
892	7173.786177
893	7169.721438
894	7164.913893
895	7155.522834
896	7145.586139
897	7137.692322
898	7131.275862
899	7130.473609
900	7125.400473
901	7124.395249
902	7121.490651
903	7112.274256
904	7103.685232
905	7095.468157
906	7088.980051
907	7082.011782
908	7071.724395
909	7065.000026
910	7055.333681
911	7045.996422
912	7042.884404
913	7039.45808
914	7027.702362
915	7020.255817
916	7015.448272
917	7008.446476
918	7005.598866
919	6998.492697
920	6992.551907
921	6980.986465
922	6978.734791
923	6966.751409
924	6965.534276
925	6954.361909
926	6950.473726
927	6939.50316
928	6930.317361
929	6921.601355
930	6916.381764
931	6909.901274
932	6902.844958
933	6902.005669
934	6893.257885
935	6885.219599
936	6878.45656
937	6877.243951
938	6874.938094
939	6868.46492
940	6862.898605
941	6859.508404
942	6851.245512
943	6845.757051
944	6844.811622
945	6836.181842
946	6831.125103
947	6824.949187
948	6816.232307
949	6811.757589
950	6801.703362
951	6800.895102
952	6795.420776
953	6789.245789
954	6778.67469
955	6768.127427
956	6760.038202
957	6750.324535
958	6745.184041
959	6735.763734
960	6734.520348
961	6726.009477
962	6725.166353
963	6717.078632
964	6713.445132
965	6706.927742
966	6706.120329
967	6699.107421
968	6693.052228
969	6681.209892
970	6674.316725
971	6666.618451
972	6660.6292
973	6657.612691
974	6654.631743
975	6647.917488
976	6640.405314
977	6635.207534
978	6629.441867
979	6619.257196
980	6611.927075
981	6606.852502
982	6598.613382
983	6596.886818
984	6591.904303
985	6584.623857
986	6579.057861
987	6574.694523
988	6567.414233
989	6561.18938
990	6547.902637
991	6543.832963
992	6539.598454
993	6532.909065
994	6528.783293
995	6525.101391
996	6518.074352
997	6512.707997
998	6502.845077
999	6496.588521
